country,latitude,longitude,temp_mean,temp_std,temp_min,temp_max,country_encoded
Iraq,33.33887194244605,44.39314244604317,30.687230215827334,10.964312242229475,8.0,49.1,78
Ireland,53.33250126353791,-6.2491124548736465,11.663357400722022,4.917810226469785,-2.8,23.2,79
Israel,31.78,35.23,25.08252252252252,6.468912114900314,8.2,39.0,80
Italy,41.9,12.482663783783783,20.17297297297297,8.777754804767877,2.1,37.7,81
Ivory Coast,6.8167,-5.2833,22.884375000000002,0.7400324495019048,20.1,25.3,82
Jamaica,17.948368478260868,-76.83759057971014,26.94836956521739,1.6354503603969512,21.6,32.0,83
Japan,35.689596396396404,139.69137225225225,20.705945945945945,8.351760053417047,3.1,37.1,84
Jordan,31.950000000000003,35.932658992805756,23.15341726618705,7.907437883843058,4.0,41.1,85
Kazakhstan,51.180887927927934,71.42822414414415,10.387927927927928,13.71079900066635,-23.8,35.0,86
Kenya,-1.2876410071942446,36.82246690647482,22.0056654676259,2.8226320391483735,15.1,28.4,87
Kiribati,-0.8826685920577617,169.53266859205777,27.803971119133575,0.6141656059805438,26.1,29.6,88
Kuwait,29.36734100719425,47.96003597122302,32.7978417266187,10.046688971866649,10.7,49.2,89
Kyrgyzstan,42.872502342342344,74.60024216216216,18.423783783783787,11.975492879228751,-8.5,40.1,90
Latvia,56.95,24.1,11.544864864864865,8.458323487439314,-6.8,32.1,91
Lebanon,33.87153303249097,35.50975794223827,24.529783393501805,5.2358512650929825,7.1,33.1,92
Lesotho,-29.317336216216216,27.48266378378378,19.490450450450453,6.204697095122009,4.0,35.6,93
Liberia,6.3104843243243245,-10.803793873873873,26.08126126126126,1.7392294224644276,22.3,31.0,94
Liechtenstein,47.13266378378378,9.517336216216217,11.514594594594595,8.41133322877713,-10.2,29.4,95
Lithuania,54.68266378378379,25.317336216216216,11.248648648648649,9.181029972037367,-10.7,31.2,96
Luxembourg,49.61137472924188,6.13,11.812274368231048,7.559396693003943,-4.9,30.5,97
Madagascar,-23.10286258992806,46.69750161870504,26.03615107913669,4.212317494281441,16.9,37.6,98
Malawi,-13.982658992805755,33.78265899280576,24.82769784172662,3.7659243755324625,12.0,35.4,99
Malaysia,3.169966846846847,101.73003603603603,30.081891891891892,2.8720709497918335,23.0,36.4,100
